psmiles,value
*Nc1ccc(cc1)C1(c2ccccc2-c2ccccc12)c1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)*,1.2422
*NC(=O)CCCCCCCCC(=O)NCCCCCCC*,1.082
*Oc1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)*,1.395
*C(C*)(CC(=O)OCCc1ccccc1)C(=O)OCCc1ccccc1,1.186
*O[Si](*)(c1ccccc1)c1ccccc1,1.22
*N1CCN(CC1)C(=O)CCCCCCCCC(=O)N1CCN(CC1)CCCCCCCCCC*,0.9709
*C(C*)CC[Si](C)(C)C,0.907
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,1.429363636
*N1CCN(CC1)C(=O)CCCCCCCCC(=O)*,0.9261
*OC(=O)CCCCC(=O)OCCNC(=O)CCCCC*,1.155
*c1ccc(cc1)CC*,1.141
*C(C*)C1C(CCCC1)C,0.9402
*NC(=O)CCCCCCCCC(=O)NCCCCCCCC*,1.07255
*C(C(*)(F)F)(Cl)F,2.118009524
*OC(C(=O)*)C,1.258088889
*C(C*)OCCCCCCCC,0.9035
*NC(=O)Cc1ccc(cc1)CC(=O)NCCCCCCCCCCCC*,1.095
*NC(=O)CCCCC(=O)NC*,1.33
*C(CC(C*)c1ccc(cc1)OC(=O)C)(C#N)C#N,1.21
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)c2ccc(cc2)*)cc1,1.354
*C1=CC(=C(C#N)C#N)C=C(O1)C=Cc1ccc(cc1)N=Nc1ccc(cc1)N(CCOC(=O)Nc1c(ccc(c1)NC(=O)OCCN(c1ccc(cc1)N=Nc1ccc(cc1)C=C*)C)C)C,1.27
*C1C(C2CC(C1C2)*)CCCCCC,0.954
*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)c1cc(ccc1)C(=O)*)(c1ccccc1)c1ccccc1,1.221
*Oc1ccc(cc1)C1(c2ccccc2C(=O)c2ccccc12)c1ccc(cc1)OC(=O)c1cc(ccc1)C(=O)*,1.267
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)OCCOCCOc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,1.4176
*O[Si](CCC(C(C(C(C(C(CC[Si](*)(CCC(F)(F)F)C)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(CCC(F)(F)F)C,1.59
*NC(=O)CCCCC(=O)NCCCP(=O)(CCC*)C,1.2
*C(CC(C*)(c1ccc(cc1)OC(=O)OC)OC(=O)C)(C#N)C#N,1.23
*c1sc(cc1OCCCCCCCCCCCC)C=C*,1.17
*Nc1c2c(ccc1)c(ccc2)NC(=O)c1ccc(cc1)C(=O)*,1.38
*C(C*)(CC(=O)OCC1CCCCC1)C(=O)OCC1CCCCC1,1.126
*C(C*)C1CC=CCC1,1.128
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)NC(=O)c2cc(ccc2)C(=O)Nc2ccc(cc2)*)cc1,1.41
*C(C*)(CC(=O)Oc1c(cccc1)C)C(=O)Oc1c(cccc1)C,1.135
*NC(=O)CCCCC(=O)NCC1CC(CCC1)C*,1.13945
*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1cc(ccc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1cc(ccc1)*)(C(F)(F)F)C(F)(F)F,1.417
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)C(c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)(C)C)cc1,1.3425
*c1cc2-c3n(c4ccc(cc4n3)Oc3cc4n5c(-c6ccc(cc6C5=O)C(*)(C(F)(F)F)C(F)(F)F)nc4cc3)C(=O)c2cc1,1.408
*SCCCCC*,1.213
*C(C*)c1ccc(cc1)B(O[Si](C)(C)C)O[Si](C)(C)C,0.9748
*c1cc2c(C(=O)N(C2=O)c2c(cc(c(c2C)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)C)C)cc1,1.284666667
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)c2cc(c(cc2)Oc2cc3c(C(CC3(c3ccc(cc3)Oc3c(cc(cc3)c3ccc(cc3)N3C(=O)c4c(C3=O)cc(cc4)C(*)(C(F)(F)F)C(F)(F)F)C(F)(F)F)C)(C)C)cc2)C(F)(F)F)cc1,1.17
*NC(=O)CC(=O)NCCCC*,1.324
*C(C*)(C(=O)OCC(=O)c1ccccc1)C,1.35
*OC(=O)c1ccc(cc1)C(=O)OCCCC*,1.299920513
*C1C(CC1)*,1.0475
*NC(C(=O)*)CCC(=O)OCCCCCCCCCC,1.03
*c1nc(nc(n1)Oc1c2c(ccc1C(=O)Oc1ccc(cc1)OC(=O)c1c(c3c(cc1)cccc3)O*)cccc2)N1CCCCC1,1.185
*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1cc(ccc1)*,1.431085
*O[Si](*)(CCC)CCC,1.015
