n_components,smiles_1,smiles_2,smiles_3,smiles_4,smiles_5,smiles_6,smiles_7,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,tg
5,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.3,0.12,0.08,0.38,0.12,,,41.0
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.154,0.346,0.212,0.038,0.25,,,24.0
2,O=C(O)CCCCCCCCC(=O)O,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,-38.63
2,O=C(O)C1CCCC(C(=O)O)C1,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,42.0
4,O=C(O)C1CCC(C(=O)O)CC1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,,,0.5,0.38,0.11,0.01,,,,24.0
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCCCCCCO,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.355,0.145,0.05,0.215,0.228,0.007,,87.7
2,O=C(O)c1ccccc1C(=O)O,OCCOCCO,,,,,,0.5,0.5,,,,,,10.0
2,O=C(O)CCCCC(=O)O,CC(C)(CO)CO,,,,,,0.5,0.5,,,,,,-44.0
5,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.5,0.143,0.097,0.017,0.243,,,60.4
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.3515,0.1485,0.1265,0.1145,0.2535,0.0055,,91.7
6,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.1534,0.2484,0.0985,0.2694,0.2269,0.0035,,84.04
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.3515,0.1485,0.121,0.1185,0.255,0.0055,,92.63
2,O=C(O)C1CCCCC1C(=O)O,CC(C)(CO)CO,,,,,,0.5,0.5,,,,,,24.0
2,O=C(O)CCCCC(=O)O,OCCCCCCO,,,,,,0.5,0.5,,,,,,-60.0
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCCCCCCO,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,OCC1CC2C3CC(CO)C(C3)C2C1,,0.3553,0.1444,0.0485,0.2274,0.1124,0.1119,,69.05
5,O=C1OC(=O)C2CCCCC12,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.15,0.215,0.135,0.38,0.12,,,62.0
2,O=C(O)c1cccc(C(=O)O)c1,OCCOCCO,,,,,,0.5,0.5,,,,,,21.0
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.143,0.357,0.2325,0.013,0.2545,,,34.33
2,O=C(O)CCCCC(=O)O,OCCO,,,,,,0.5,0.5,,,,,,-45.0
2,O=C(O)CCCCC(=O)O,OCCCCO,,,,,,0.5,0.5,,,,,,-59.0
